batch value control marker flagged_batch batch_effect cols type
PTLG034 2.8910999298095703 IFNa_LPS_Control_1 CD19 none 0 #AEAEAE EMD
PTLG034 1.2780499458312988 IFNa_LPS_Control_2 CD19 none 0 #AEAEAE EMD
PTLG034 2.6967499256134033 Unstim_Control_1 CD19 none 0 #AEAEAE EMD
PTLG034 2.0360500812530518 Unstim_Control_2 CD19 none 0 #AEAEAE EMD
PTLG021 1.214250087738037 IFNa_LPS_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG021 1.638350009918213 IFNa_LPS_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG021 2.0515499114990234 Unstim_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG021 5.852950096130371 Unstim_Control_2 CD45RA PTLG021 1 #8E000C EMD
PTLG025 1.7735999822616577 IFNa_LPS_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG025 2.0510001182556152 IFNa_LPS_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG025 2.5885000228881836 Unstim_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG025 4.4282002449035645 Unstim_Control_2 CD45RA PTLG025 1 #8E000C EMD
PTLG026 1.0431002378463745 IFNa_LPS_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG026 1.1225000619888306 IFNa_LPS_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG026 1.8001500368118286 Unstim_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG026 2.3221499919891357 Unstim_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG027 0.9885503649711609 IFNa_LPS_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG027 1.0966498851776123 IFNa_LPS_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG027 1.7023000717163086 Unstim_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG027 2.981950044631958 Unstim_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG028 0.8929500579833984 IFNa_LPS_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG028 1.973100185394287 IFNa_LPS_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG028 2.639050006866455 Unstim_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG028 1.6291499137878418 Unstim_Control_2 CD45RA none 0 #AEAEAE EMD
PTLG030 1.0431002378463745 IFNa_LPS_Control_1 CD45RA none 0 #AEAEAE EMD
PTLG030 1.1335999965667725 IFNa_LPS_Control_2 CD45RA none 0 #AEAEAE EMD
